,transcripts,level_1,count,max,frequency,selection
42,ENSG00000019549,0,102,0.018719947065610212,0.102,True
43,ENSG00000020181,0,88,0.026838314420540205,0.088,True
87,ENSG00000054598,0,119,0.019366710772266614,0.119,True
105,ENSG00000061918,0,125,0.028877818196136357,0.125,True
142,ENSG00000069122,0,137,0.024715807040098705,0.137,True
184,ENSG00000076706,0,61,0.020608400075899085,0.061,True
214,ENSG00000081923,0,93,0.023984370436242956,0.093,True
246,ENSG00000087303,0,113,0.017655478440425042,0.113,True
325,ENSG00000101000,0,62,0.021369181610188203,0.062,True
479,ENSG00000110108,0,62,0.021183417565442366,0.062,True
498,ENSG00000111252,0,109,0.015961282974632566,0.109,True
531,ENSG00000112715,0,97,0.021815081707289703,0.097,True
554,ENSG00000114268,0,81,0.020495482442598894,0.081,True
558,ENSG00000114480,0,104,0.016460506197356582,0.104,True
596,ENSG00000116833,0,84,0.026202936043604307,0.084,True
598,ENSG00000116962,0,120,0.017899991183808656,0.12,True
632,ENSG00000119125,0,47,0.022540075216671368,0.047,True
709,ENSG00000124785,0,133,0.015207501804273809,0.133,True
719,ENSG00000125810,0,113,0.019077722259265736,0.113,True
737,ENSG00000127329,0,110,0.019016403256368376,0.11,True
747,ENSG00000128052,0,145,0.020385402763686482,0.145,True
757,ENSG00000128641,0,119,0.014934157094534401,0.119,True
809,ENSG00000131634,0,102,0.01837012286111248,0.102,True
845,ENSG00000133561,0,104,0.01737221744303422,0.104,True
875,ENSG00000134954,0,122,0.014999287546630338,0.122,True
884,ENSG00000135245,0,92,0.02059127452242631,0.092,True
941,ENSG00000137507,0,114,0.01743004725281725,0.114,True
949,ENSG00000137831,0,106,0.02253900868844832,0.106,True
954,ENSG00000137962,0,102,0.017463632449064223,0.102,True
964,ENSG00000138185,0,128,0.01830546856918032,0.128,True
983,ENSG00000138792,0,118,0.022621913982410674,0.118,True
1190,ENSG00000151702,0,115,0.019056851606105613,0.115,True
1205,ENSG00000152402,0,38,0.019977926731566096,0.038,True
1216,ENSG00000152804,0,40,0.021573918648409216,0.04,True
1308,ENSG00000157554,0,127,0.02099525243885933,0.127,True
1352,ENSG00000161381,0,108,0.016497266645944024,0.108,True
1358,ENSG00000161940,0,78,0.019556293922283138,0.078,True
1397,ENSG00000163378,0,118,0.01772093172617879,0.118,True
1401,ENSG00000163430,0,138,0.018766435141602325,0.138,True
1417,ENSG00000163909,0,95,0.02190454198181485,0.095,True
1429,ENSG00000164116,0,71,0.023068282055762154,0.071,True
1521,ENSG00000166265,0,154,0.024554953013812483,0.154,True
1628,ENSG00000170340,0,126,0.019869531495417873,0.126,True
1742,ENSG00000174804,0,127,0.026501408117512944,0.127,True
1771,ENSG00000176435,0,129,0.01991697092704399,0.129,True
1803,ENSG00000178033,0,97,0.02200325256687317,0.097,True
2071,ENSG00000197702,0,67,0.023338477163934414,0.067,True
2100,ENSG00000198682,0,113,0.016934215967972267,0.113,True
2137,ENSG00000204262,0,95,0.021009168317758106,0.095,True
2183,ENSG00000213949,0,125,0.02173063117888518,0.125,True
2335,ENSG00000248636,0,94,0.021717894007471497,0.094,True
2348,ENSG00000250863,0,43,0.022342655323085405,0.043,True
2407,ENSG00000260244,0,118,0.019636707833833394,0.118,True
2423,ENSG00000261371,0,134,0.01770287074450196,0.134,True
2427,ENSG00000261759,0,73,0.02400602038213932,0.073,True
